record_ID,units_sold
212877,37.0
212879,17.0
212880,30.0
212881,34.0
212884,16.0
212885,33.0
212886,20.0
212888,17.0
212889,38.0
212890,23.0
212891,69.0
212892,18.0
212893,32.0
212896,29.0
212899,5.0
212900,15.0
212901,25.0
212902,15.0
212903,13.0
212905,37.0
212906,13.0
212907,68.0
212910,15.0
212911,14.0
212914,15.0
212915,115.0
212916,72.0
212917,38.0
212919,42.0
212920,57.0
212921,81.0
212924,68.0
212925,46.0
212926,335.0
212927,10.0
212929,66.0
212930,59.0
212931,15.0
212932,64.0
212933,71.0
212934,88.0
212935,13.0
212936,59.0
212937,66.0
212938,12.0
212940,41.0
212941,44.0
212942,29.0
212946,46.0
212947,57.0
212948,134.0
212949,37.0
212950,56.0
212951,27.0
212952,38.0
212954,52.0
212955,25.0
212956,26.0
212959,14.0
212960,20.0
212964,72.0
212965,26.0
212966,177.0
212967,18.0
212968,15.0
212969,34.0
212970,45.0
212971,25.0
212973,27.0
212974,31.0
212977,48.0
212978,53.0
212979,24.0
212981,20.0
212982,41.0
212983,41.0
212984,46.0
212985,53.0
212986,52.0
212987,107.0
212988,32.0
212989,275.0
212990,25.0
212991,20.0
212993,50.0
212994,57.0
212995,38.0
212996,41.0
212997,43.0
212998,63.0
212999,7.0
213001,12.0
213002,13.0
213006,16.0
213007,19.0
213011,28.0
213012,13.0
213013,76.0
213016,18.0
213017,11.0
213020,24.0
213021,156.0
213022,102.0
213023,81.0
213025,53.0
213026,53.0
213027,83.0
213031,106.0
213032,54.0
213033,372.0
213034,23.0
213035,18.0
213036,65.0
213037,75.0
213038,55.0
213039,21.0
213040,30.0
213041,67.0
213043,22.0
213048,130.0
213049,95.0
213050,34.0
213053,64.0
213054,67.0
213055,96.0
213056,55.0
213059,71.0
213060,54.0
213061,263.0
213064,63.0
213065,48.0
213066,42.0
213068,65.0
213069,88.0
213070,32.0
213072,61.0
213073,55.0
213074,29.0
213076,17.0
213077,36.0
213078,53.0
213079,29.0
213080,25.0
213081,29.0
213082,85.0
213083,27.0
213084,228.0
213085,26.0
213086,25.0
213087,39.0
213088,63.0
213089,27.0
213090,33.0
213091,50.0
213092,54.0
213093,6.0
213094,10.0
213096,17.0
213097,25.0
213098,21.0
213100,9.0
213101,21.0
213102,32.0
213103,25.0
213105,36.0
213106,46.0
213107,22.0
213108,75.0
213109,26.0
213110,37.0
213111,22.0
213113,38.0
213114,40.0
213115,6.0
213123,36.0
213127,77.0
213128,45.0
213129,30.0
213131,31.0
213132,42.0
213133,49.0
213135,59.0
213136,26.0
213137,173.0
213138,13.0
213140,39.0
213141,31.0
213142,50.0
213145,48.0
213147,8.0
213148,59.0
213149,27.0
213150,11.0
213151,21.0
213152,29.0
213153,11.0
213154,59.0
213155,27.0
213156,128.0
213157,17.0
213158,14.0
213159,37.0
213160,38.0
213161,27.0
213162,20.0
213163,27.0
213164,37.0
213167,14.0
213168,26.0
213169,191.0
213170,157.0
213171,93.0
213174,69.0
213175,84.0
213176,102.0
213179,30.0
213180,137.0
213181,67.0
213182,358.0
213183,35.0
213187,65.0
213188,67.0
213189,91.0
213191,38.0
213192,95.0
213194,27.0
213195,9.0
213197,10.0
213199,8.0
213200,26.0
213202,33.0
213204,54.0
213205,28.0
213206,84.0
213207,21.0
213208,83.0
213209,35.0
213215,86.0
213216,75.0
213217,46.0
213219,53.0
213220,52.0
213221,70.0
213225,63.0
213226,34.0
213227,275.0
213230,42.0
213231,42.0
213233,36.0
213235,77.0
213236,11.0
213238,119.0
213239,77.0
213240,38.0
213241,43.0
213242,47.0
213243,63.0
213245,77.0
213246,35.0
213247,322.0
213248,26.0
213249,14.0
213250,68.0
213251,50.0
213252,19.0
213254,36.0
213255,75.0
213256,5.0
213257,23.0
213260,10.0
213265,33.0
213268,12.0
213269,52.0
213270,40.0
213273,27.0
213275,39.0
213276,20.0
213278,8.0
213279,24.0
213280,63.0
213281,36.0
213282,20.0
213283,31.0
213285,103.0
213286,44.0
213287,223.0
213288,25.0
213289,21.0
213292,45.0
213293,43.0
213294,24.0
213296,47.0
213297,48.0
213301,22.0
213303,8.0
213304,18.0
213305,41.0
213306,31.0
213308,53.0
213309,51.0
213310,46.0
213311,27.0
213312,124.0
213314,9.0
213315,32.0
213316,34.0
213317,19.0
213320,190.0
213321,113.0
213322,30.0
213325,62.0
213326,73.0
213327,103.0
213330,40.0
213331,96.0
213332,45.0
213333,216.0
213334,13.0
213335,5.0
213336,66.0
213337,50.0
213338,18.0
213340,75.0
213341,84.0
213343,11.0
213346,221.0
213347,27.0
213348,9.0
213351,8.0
213352,41.0
213353,26.0
213354,25.0
213355,34.0
213356,34.0
213357,43.0
213358,23.0
213359,173.0
213360,9.0
213361,8.0
213363,52.0
213364,28.0
213365,36.0
213366,34.0
213367,39.0
213369,65.0
213370,56.0
213371,16.0
213372,16.0
213373,27.0
213374,44.0
213375,22.0
213376,22.0
213377,29.0
213378,64.0
213379,23.0
213380,150.0
213381,14.0
213382,14.0
213383,40.0
213384,52.0
213385,33.0
213387,29.0
213388,43.0
213390,10.0
213391,27.0
213392,28.0
213394,21.0
213395,45.0
213396,28.0
213399,61.0
213400,21.0
213401,140.0
213403,25.0
213404,26.0
213408,16.0
213409,8.0
213410,6.0
213411,13.0
213412,53.0
213413,43.0
213414,19.0
213415,15.0
213416,29.0
213417,29.0
213418,16.0
213419,15.0
213420,12.0
213421,67.0
213422,15.0
213423,157.0
213425,12.0
213426,28.0
213427,30.0
213428,19.0
213431,35.0
213432,7.0
213434,12.0
213435,69.0
213436,51.0
213437,34.0
213439,22.0
213440,35.0
213441,44.0
213444,50.0
213445,40.0
213446,30.0
213447,168.0
213448,43.0
213449,25.0
213454,61.0
213455,35.0
213456,27.0
213457,46.0
213458,38.0
213461,35.0
213462,31.0
213463,163.0
213466,37.0
213467,17.0
213471,12.0
213472,66.0
213473,42.0
213474,18.0
213476,37.0
213477,47.0
213478,44.0
213479,73.0
213480,46.0
213481,190.0
213484,36.0
213485,63.0
213486,18.0
213488,28.0
213489,35.0
213490,5.0
213491,22.0
213494,21.0
213495,17.0
213496,11.0
213497,22.0
213502,40.0
213503,29.0
213505,19.0
213506,40.0
213507,21.0
213510,36.0
213511,26.0
213512,8.0
213514,17.0
213516,45.0
213517,18.0
213518,113.0
213519,15.0
213520,13.0
213521,27.0
213522,29.0
213523,13.0
213526,23.0
213528,9.0
213530,35.0
213531,38.0
213532,21.0
213533,6.0
213535,15.0
213536,23.0
213537,34.0
213538,30.0
213540,34.0
213541,63.0
213542,24.0
213543,129.0
213545,8.0
213546,30.0
213547,50.0
213548,27.0
213550,32.0
213551,36.0
213554,16.0
213559,29.0
213560,20.0
213561,36.0
213562,42.0
213563,36.0
213564,48.0
213565,21.0
213566,98.0
213567,38.0
213568,34.0
213572,26.0
213573,21.0
213574,19.0
213575,7.0
213576,6.0
213577,23.0
213578,14.0
213579,25.0
213580,31.0
213581,61.0
213582,20.0
213583,113.0
213584,13.0
213587,58.0
213588,36.0
213591,42.0
213593,49.0
213594,42.0
213597,17.0
213598,23.0
213599,30.0
213600,18.0
213601,22.0
213602,27.0
213603,61.0
213604,27.0
213605,160.0
213606,24.0
213607,18.0
213608,42.0
213609,33.0
213610,24.0
213612,25.0
213613,38.0
213614,16.0
213615,160.0
213616,132.0
213617,41.0
213619,62.0
213620,67.0
213621,95.0
213624,31.0
213625,86.0
213626,72.0
213627,347.0
213630,74.0
213631,58.0
213635,79.0
213639,31.0
213640,26.0
213641,8.0
213643,16.0
213644,28.0
213645,23.0
213648,52.0
213649,22.0
213650,142.0
213651,22.0
213652,18.0
213653,35.0
213654,28.0
213658,30.0
213660,11.0
213661,14.0
213663,8.0
213664,23.0
213665,48.0
213666,25.0
213669,70.0
213670,33.0
213671,137.0
213673,26.0
213674,81.0
213675,40.0
213678,45.0
213681,41.0
213682,35.0
213683,18.0
213685,19.0
213686,48.0
213687,41.0
213688,45.0
213689,42.0
213690,43.0
213691,69.0
213692,34.0
213693,180.0
213694,13.0
213696,35.0
213697,27.0
213698,15.0
213699,40.0
213700,47.0
213701,41.0
213703,64.0
213704,47.0
213707,26.0
213708,39.0
213709,34.0
213711,39.0
213712,30.0
213713,152.0
213716,43.0
213720,44.0
213723,101.0
213724,76.0
213725,18.0
213727,51.0
213728,51.0
213729,50.0
213733,61.0
213734,50.0
213735,237.0
213736,65.0
213737,50.0
213738,22.0
213741,60.0
213743,209.0
213744,116.0
213745,68.0
213748,58.0
213749,59.0
213750,106.0
213752,117.0
213753,61.0
213754,347.0
213755,38.0
213756,21.0
213758,71.0
213759,68.0
213760,35.0
213761,40.0
213762,43.0
213763,123.0
213764,7.0
213765,26.0
213768,227.0
213769,161.0
213770,60.0
213771,14.0
213773,73.0
213774,81.0
213775,124.0
213779,111.0
213780,63.0
213781,371.0
213782,16.0
213783,12.0
213785,73.0
213786,59.0
213787,96.0
213788,39.0
213789,63.0
213790,100.0
213792,20.0
213796,17.0
213797,16.0
213798,10.0
213799,8.0
213800,8.0
213801,26.0
213802,27.0
213805,67.0
213806,29.0
213807,104.0
213808,6.0
213809,31.0
213811,33.0
213814,34.0
213816,19.0
213817,23.0
213819,8.0
213820,19.0
213821,18.0
213824,38.0
213825,24.0
213826,69.0
213829,22.0
213830,49.0
213831,28.0
213833,19.0
213834,24.0
213835,13.0
213838,11.0
213840,22.0
213842,28.0
213844,22.0
213848,111.0
213849,76.0
213850,44.0
213851,45.0
213852,48.0
213853,58.0
213857,65.0
213858,42.0
213859,259.0
213860,21.0
213861,9.0
213862,52.0
213863,51.0
213865,33.0
213866,46.0
213867,76.0
213870,66.0
213871,25.0
213874,38.0
213875,42.0
213878,53.0
213879,31.0
213880,160.0
213883,36.0
213884,20.0
213885,9.0
213888,41.0
213891,157.0
213892,83.0
213893,33.0
213895,43.0
213896,56.0
213897,76.0
213900,87.0
213901,47.0
213902,263.0
213903,24.0
213905,45.0
213906,43.0
213907,46.0
213909,32.0
213910,75.0
213912,19.0
213913,15.0
213918,26.0
213919,16.0
213922,19.0
213923,62.0
213924,20.0
213925,98.0
213926,7.0
213928,16.0
213930,29.0
213932,28.0
213935,31.0
213936,27.0
213939,10.0
213940,16.0
213942,63.0
213943,19.0
213944,140.0
213945,22.0
213946,16.0
213947,37.0
213948,37.0
213949,24.0
213951,19.0
213952,30.0
213954,10.0
213955,18.0
213956,17.0
213960,21.0
213961,40.0
213962,22.0
213963,34.0
213964,39.0
213965,32.0
213966,56.0
213967,28.0
213968,119.0
213971,27.0
213972,37.0
213973,17.0
213976,157.0
213977,81.0
213978,50.0
213979,26.0
213980,16.0
213981,69.0
213982,100.0
213983,129.0
213985,30.0
213986,18.0
213987,177.0
213988,101.0
213989,421.0
213990,34.0
213991,17.0
213994,90.0
213995,78.0
213996,90.0
213998,70.0
213999,100.0
214000,6.0
214001,32.0
214002,22.0
214004,58.0
214005,39.0
214006,17.0
214008,47.0
214009,45.0
214010,47.0
214011,28.0
214014,38.0
214015,53.0
214016,176.0
214017,64.0
214018,30.0
214019,79.0
214021,87.0
214022,63.0
214023,83.0
214024,67.0
214025,26.0
214026,46.0
214027,45.0
214028,50.0
214032,49.0
214033,63.0
214034,239.0
214035,76.0
214036,66.0
214040,66.0
214041,5.0
214043,222.0
214044,142.0
214045,93.0
214048,92.0
214049,101.0
214050,136.0
214051,17.0
214054,168.0
214055,95.0
214056,586.0
214057,32.0
214061,97.0
214062,117.0
214063,98.0
214065,74.0
214066,138.0
214067,25.0
214070,62.0
214071,54.0
214072,19.0
214073,17.0
214074,35.0
214075,57.0
214076,39.0
214077,22.0
214078,36.0
214079,108.0
214080,31.0
214081,210.0
214082,33.0
214083,26.0
214084,50.0
214085,85.0
214086,59.0
214088,32.0
214089,71.0
214090,5.0
214092,14.0
214096,25.0
214097,20.0
214098,22.0
214099,26.0
214100,59.0
214101,33.0
214102,106.0
214103,5.0
214104,44.0
214105,78.0
214106,34.0
214109,41.0
214111,36.0
214112,45.0
214114,19.0
214115,32.0
214116,24.0
214118,46.0
214120,44.0
214121,24.0
214122,125.0
214124,22.0
214125,23.0
214126,13.0
214129,43.0
214130,38.0
214131,9.0
214133,22.0
214134,39.0
214135,57.0
214136,21.0
214137,26.0
214138,38.0
214139,71.0
214140,26.0
214141,185.0
214142,18.0
214143,14.0
214144,37.0
214145,34.0
214146,23.0
214148,31.0
214149,41.0
214151,150.0
214152,84.0
214153,27.0
214154,51.0
214155,66.0
214156,102.0
214158,39.0
214159,80.0
214160,36.0
214161,326.0
214162,18.0
214163,11.0
214164,63.0
214165,46.0
214168,47.0
214169,79.0
214175,58.0
214176,46.0
214177,14.0
214178,47.0
214179,39.0
214180,82.0
214184,71.0
214185,42.0
214186,303.0
214187,67.0
214188,38.0
214191,62.0
214192,10.0
214193,35.0
214194,29.0
214195,9.0
214196,41.0
214197,61.0
214198,28.0
214202,91.0
214203,55.0
214204,205.0
214205,43.0
214206,125.0
214207,65.0
214209,82.0
214210,79.0
214213,29.0
214215,10.0
214216,23.0
214217,26.0
214218,9.0
214221,62.0
214222,20.0
214223,144.0
214224,18.0
214225,20.0
214226,35.0
214227,47.0
214228,28.0
214229,20.0
214230,27.0
214231,37.0
214233,11.0
214235,135.0
214236,86.0
214237,51.0
214240,59.0
214241,67.0
214242,86.0
214245,93.0
214246,54.0
214247,357.0
214248,18.0
214249,9.0
214251,77.0
214252,58.0
214253,62.0
214255,66.0
214256,101.0
214258,13.0
214261,12.0
214262,36.0
214263,17.0
214265,19.0
214266,31.0
214267,27.0
214271,75.0
214272,26.0
214273,155.0
214274,23.0
214275,17.0
214276,34.0
214277,47.0
214278,25.0
214281,36.0
214282,12.0
214283,13.0
214284,14.0
214285,21.0
214286,34.0
214287,37.0
214288,21.0
214292,24.0
214293,47.0
214296,16.0
214297,111.0
214300,170.0
214301,88.0
214302,51.0
214305,84.0
214306,111.0
214307,118.0
214310,26.0
214311,110.0
214312,76.0
214313,103.0
214314,21.0
214315,11.0
214316,85.0
214317,59.0
214318,305.0
214320,10.0
214321,23.0
214322,23.0
214325,81.0
214326,88.0
214327,16.0
214328,7.0
214330,27.0
214331,61.0
214332,37.0
214333,46.0
214334,44.0
214335,25.0
214336,71.0
214337,37.0
214338,47.0
214339,19.0
214340,16.0
214341,42.0
214342,55.0
214343,161.0
214344,18.0
214345,19.0
214346,23.0
214348,8.0
214349,16.0
214350,37.0
214351,29.0
214352,29.0
214355,33.0
214356,33.0
214357,24.0
214358,27.0
214360,71.0
214361,29.0
214362,37.0
214363,13.0
214364,11.0
214366,33.0
214367,54.0
214368,109.0
214370,23.0
214371,26.0
214373,5.0
214374,6.0
214375,16.0
214376,268.0
214377,199.0
214378,75.0
214379,17.0
214381,110.0
214382,158.0
214383,215.0
214387,221.0
214388,104.0
214389,189.0
214390,34.0
214391,21.0
214393,121.0
214394,94.0
214395,318.0
214396,12.0
214397,25.0
214398,56.0
214399,11.0
214400,63.0
214402,11.0
214403,92.0
214404,84.0
214406,63.0
214407,69.0
214408,69.0
214411,38.0
214412,58.0
214413,35.0
214414,58.0
214415,11.0
214416,8.0
214417,55.0
214418,29.0
214421,10.0
214422,20.0
214425,181.0
214426,101.0
214427,66.0
214428,13.0
214430,100.0
214431,132.0
214432,127.0
214434,141.0
214435,123.0
214436,111.0
214437,25.0
214438,12.0
214440,91.0
214441,75.0
214443,11.0
214444,17.0
214445,27.0
214447,36.0
214450,32.0
214454,19.0
214455,35.0
214456,34.0
214457,26.0
214458,37.0
214459,37.0
214460,58.0
214461,25.0
214462,44.0
214463,15.0
214464,9.0
214466,42.0
214467,49.0
214468,117.0
214469,17.0
214470,19.0
214471,22.0
214472,28.0
214473,21.0
214475,11.0
214476,28.0
214477,28.0
214478,30.0
214481,44.0
214482,16.0
214483,47.0
214484,12.0
214487,40.0
214488,108.0
214491,16.0
214494,36.0
214495,23.0
214498,21.0
214499,56.0
214500,54.0
214501,16.0
214504,98.0
214505,45.0
214506,78.0
214507,25.0
214508,26.0
214510,43.0
214511,61.0
214512,140.0
214513,18.0
214514,20.0
214515,26.0
214517,18.0
214518,31.0
214519,34.0
214522,15.0
214523,39.0
214524,20.0
214526,36.0
214527,32.0
214528,19.0
214529,14.0
214530,17.0
214531,30.0
214534,15.0
214539,6.0
214540,15.0
214541,32.0
214542,17.0
214543,18.0
214545,33.0
214546,13.0
214547,24.0
214550,16.0
214551,14.0
214554,9.0
214555,117.0
214556,73.0
214557,37.0
214559,66.0
214560,76.0
214561,87.0
214564,71.0
214565,45.0
214566,67.0
214567,10.0
214569,70.0
214570,38.0
214571,232.0
214572,10.0
214573,21.0
214574,29.0
214575,10.0
214577,59.0
214578,57.0
214579,10.0
214581,36.0
214582,46.0
214583,29.0
214587,42.0
214588,57.0
214589,43.0
214590,36.0
214591,52.0
214592,303.0
214593,9.0
214595,18.0
214596,29.0
214597,26.0
214600,29.0
214601,22.0
214605,73.0
214606,31.0
214607,67.0
214608,18.0
214609,17.0
214610,35.0
214611,45.0
214612,125.0
214614,14.0
214615,18.0
214618,45.0
214619,55.0
214620,19.0
214622,30.0
214623,63.0
214624,45.0
214625,47.0
214626,55.0
214627,53.0
214628,97.0
214629,33.0
214630,65.0
214631,23.0
214632,20.0
214634,50.0
214635,58.0
214636,294.0
214637,20.0
214638,16.0
214639,40.0
214640,7.0
214642,18.0
214643,12.0
214646,23.0
214647,20.0
214651,28.0
214652,13.0
214653,14.0
214656,18.0
214657,64.0
214660,13.0
214661,148.0
214662,99.0
214663,75.0
214665,64.0
214666,75.0
214667,89.0
214671,107.0
214672,55.0
214673,87.0
214674,21.0
214675,17.0
214676,65.0
214677,107.0
214678,241.0
214679,6.0
214680,11.0
214681,24.0
214683,18.0
214688,109.0
214689,90.0
214690,49.0
214693,71.0
214694,91.0
214695,102.0
214696,62.0
214699,70.0
214700,54.0
214701,73.0
214704,67.0
214705,34.0
214706,241.0
214708,10.0
214709,20.0
214710,35.0
214712,62.0
214713,55.0
214714,25.0
214716,22.0
214717,49.0
214718,57.0
214719,30.0
214720,30.0
214721,32.0
214722,83.0
214723,30.0
214724,64.0
214725,22.0
214726,22.0
214727,39.0
214728,62.0
214729,123.0
214730,16.0
214731,22.0
214732,36.0
214733,7.0
214734,9.0
214736,19.0
214737,23.0
214738,20.0
214740,15.0
214741,34.0
214742,32.0
214743,48.0
214745,30.0
214746,48.0
214747,22.0
214748,23.0
214749,26.0
214750,34.0
214751,108.0
214753,20.0
214754,20.0
214755,6.0
214763,33.0
214767,78.0
214768,43.0
214769,28.0
214771,34.0
214772,44.0
214773,53.0
214775,58.0
214776,27.0
214777,51.0
214778,14.0
214780,42.0
214781,31.0
214782,120.0
214785,14.0
214787,8.0
214788,47.0
214789,26.0
214790,12.0
214791,29.0
214792,30.0
214793,13.0
214794,62.0
214795,28.0
214796,42.0
214797,17.0
214798,14.0
214799,35.0
214800,37.0
214801,87.0
214802,18.0
214803,18.0
214804,24.0
214807,20.0
214808,26.0
214809,183.0
214810,132.0
214811,89.0
214813,84.0
214814,112.0
214815,106.0
214818,46.0
214819,142.0
214820,70.0
214821,125.0
214822,29.0
214826,70.0
214827,72.0
214828,417.0
214830,10.0
214831,26.0
214833,23.0
214834,9.0
214836,8.0
214838,12.0
214839,34.0
214841,23.0
214843,55.0
214844,28.0
214845,22.0
214846,21.0
214847,76.0
214848,208.0
214854,85.0
214855,73.0
214856,44.0
214858,60.0
214859,57.0
214860,80.0
214864,61.0
214865,38.0
214866,59.0
214869,40.0
214870,55.0
214872,8.0
214874,21.0
214875,10.0
214877,116.0
214878,75.0
214879,36.0
214880,56.0
214881,68.0
214882,76.0
214884,79.0
214885,36.0
214886,71.0
214887,23.0
214888,15.0
214889,71.0
214890,44.0
214891,265.0
214893,7.0
214894,25.0
214895,7.0
214896,20.0
214899,13.0
214904,31.0
214907,11.0
214908,49.0
214909,108.0
214912,14.0
214914,41.0
214915,22.0
214917,8.0
214918,30.0
214919,70.0
214920,38.0
214921,23.0
214922,33.0
214924,100.0
214925,44.0
214926,84.0
214927,24.0
214928,21.0
214931,43.0
214932,41.0
214933,122.0
214935,27.0
214936,31.0
214940,19.0
214942,6.0
214943,22.0
214944,55.0
214945,35.0
214947,61.0
214948,63.0
214949,39.0
214950,25.0
214951,28.0
214953,10.0
214954,32.0
214955,32.0
214956,137.0
214959,178.0
214960,105.0
214961,25.0
214964,69.0
214965,91.0
214966,109.0
214969,38.0
214970,100.0
214971,45.0
214972,107.0
214973,14.0
214974,6.0
214975,66.0
214976,49.0
214977,323.0
214979,17.0
214980,21.0
214982,9.0
214985,169.0
214986,26.0
214987,6.0
214990,14.0
214991,54.0
214992,27.0
214993,29.0
214994,41.0
214995,26.0
214996,58.0
214997,25.0
214998,39.0
214999,10.0
215000,9.0
215002,50.0
215003,82.0
215004,13.0
215005,13.0
215006,23.0
215008,64.0
215009,45.0
215010,11.0
215011,19.0
215012,36.0
215013,44.0
215014,32.0
215015,32.0
215016,37.0
215017,65.0
215018,23.0
215019,43.0
215020,15.0
215021,13.0
215022,38.0
215023,54.0
215024,130.0
215026,15.0
215027,25.0
215029,11.0
215030,31.0
215031,25.0
215033,24.0
215034,61.0
215035,29.0
215038,52.0
215039,21.0
215040,40.0
215043,25.0
215044,31.0
215048,9.0
215049,8.0
215050,7.0
215051,15.0
215052,58.0
215053,49.0
215054,19.0
215055,23.0
215056,39.0
215057,31.0
215058,18.0
215059,15.0
215060,14.0
215061,48.0
215062,14.0
215063,42.0
215065,14.0
215066,31.0
215067,32.0
215068,154.0
215071,16.0
215072,7.0
215074,16.0
215075,64.0
215076,49.0
215077,30.0
215079,33.0
215080,41.0
215081,49.0
215084,48.0
215085,36.0
215086,30.0
215087,42.0
215088,45.0
215089,25.0
215094,59.0
215095,36.0
215096,36.0
215097,49.0
215098,43.0
215101,31.0
215102,31.0
215103,49.0
215106,38.0
215107,17.0
215111,13.0
215112,67.0
215113,38.0
215114,18.0
215116,37.0
215117,56.0
215118,47.0
215119,72.0
215120,46.0
215121,68.0
215124,37.0
215125,53.0
215126,173.0
215128,10.0
215129,14.0
215130,6.0
215131,28.0
215134,20.0
215135,16.0
215136,14.0
215137,27.0
215142,36.0
215143,24.0
215145,18.0
215146,36.0
215147,108.0
215150,34.0
215151,24.0
215152,10.0
215154,14.0
215156,45.0
215157,16.0
215158,34.0
215159,15.0
215160,14.0
215161,27.0
215162,30.0
215163,59.0
215166,14.0
215167,11.0
215169,35.0
215170,37.0
215171,21.0
215172,5.0
215174,21.0
215175,31.0
215176,36.0
215177,32.0
215179,38.0
215180,66.0
215181,24.0
215182,38.0
215184,9.0
215185,30.0
215186,45.0
215187,114.0
215189,22.0
215190,21.0
215193,17.0
215198,49.0
215199,20.0
215200,35.0
215201,45.0
215202,40.0
215203,46.0
215204,19.0
215205,27.0
215206,18.0
215207,28.0
215211,10.0
215212,20.0
215213,19.0
215214,9.0
215215,13.0
215216,31.0
215217,15.0
215218,29.0
215219,34.0
215220,62.0
215221,21.0
215222,31.0
215223,14.0
215226,52.0
215227,132.0
215230,20.0
215232,40.0
215233,34.0
215236,19.0
215237,34.0
215238,32.0
215239,23.0
215240,20.0
215241,22.0
215242,60.0
215243,30.0
215244,42.0
215245,23.0
215246,17.0
215247,43.0
215248,33.0
215249,138.0
215251,11.0
215252,18.0
215253,16.0
215254,153.0
215255,129.0
215256,40.0
215258,73.0
215259,93.0
215260,104.0
215263,28.0
215264,83.0
215265,74.0
215266,80.0
215269,76.0
215270,52.0
215274,24.0
215278,29.0
215279,24.0
215280,12.0
215282,17.0
215283,37.0
215284,26.0
215287,49.0
215288,22.0
215289,39.0
215290,22.0
215291,19.0
215292,38.0
215293,29.0
215297,16.0
215299,17.0
215300,14.0
215302,5.0
215303,37.0
215304,74.0
215305,31.0
215308,65.0
215309,34.0
215310,33.0
215312,25.0
215313,72.0
215314,245.0
215317,24.0
215320,36.0
215321,35.0
215322,15.0
215324,32.0
215325,67.0
215326,45.0
215327,55.0
215328,53.0
215329,47.0
215330,60.0
215331,36.0
215332,48.0
215333,13.0
215335,36.0
215336,27.0
215337,173.0
215338,14.0
215339,20.0
215340,24.0
215342,59.0
215343,44.0
215346,27.0
215347,43.0
215348,41.0
215350,41.0
215351,31.0
215352,39.0
215355,45.0
215359,12.0
215362,100.0
215363,71.0
215364,20.0
215366,50.0
215367,62.0
215368,56.0
215372,58.0
215373,49.0
215374,60.0
215375,67.0
215376,48.0
215377,294.0
215380,16.0
215382,202.0
215383,114.0
215384,68.0
215387,68.0
215388,80.0
215389,115.0
215391,115.0
215392,61.0
215393,101.0
215394,35.0
215395,23.0
215397,79.0
215398,64.0
215399,357.0
215400,12.0
215401,14.0
215402,46.0
215403,8.0
215404,24.0
215407,208.0
215408,147.0
215409,59.0
215410,11.0
215412,86.0
215413,112.0
215414,125.0
215418,110.0
215419,64.0
215420,103.0
215421,15.0
215422,12.0
215424,79.0
215425,63.0
215426,311.0
215427,8.0
215428,18.0
215429,27.0
215431,15.0
215435,20.0
215436,14.0
215437,10.0
215438,5.0
215439,18.0
215440,48.0
215441,27.0
215444,69.0
215445,28.0
215446,57.0
215447,6.0
215448,32.0
215450,179.0
215453,17.0
215455,31.0
215456,29.0
215458,17.0
215459,33.0
215460,17.0
215463,45.0
215464,21.0
215465,14.0
215468,20.0
215469,43.0
215470,146.0
215472,10.0
215473,16.0
215474,12.0
